,Nombre Municipio Loc,CLUES
4519,Zapotlán de Juárez,HGSSA004344
4531,Epazoyucan,HGSSA004356
4577,Zempoala,HGSSA004361
4582,Zempoala,HGSSA004373
4588,Zimapán,HGSSA004390
4627,Zimapán,HGSSA004402
4640,Zimapán,HGSSA004414
4641,Zimapán,HGSSA004426
4649,Zimapán,HGSSA004431
4664,Zimapán,HGSSA004443
4678,Zimapán,HGSSA004455
4681,Actopan,HGSSA004460
4683,Atitalaquia,HGSSA004472
4684,Atitalaquia,HGSSA004484
4687,Atlapexco,HGSSA004496
4688,Cuautepec de Hinojosa,HGSSA004501
4694,Chapantongo,HGSSA004513
4695,Chilcuautla,HGSSA004525
4696,Huejutla de Reyes,HGSSA004530
4698,Mineral de la Reforma,HGSSA004542
4741,Mineral de la Reforma,HGSSA004566
4744,Mineral de la Reforma,HGSSA004571
4754,Mineral de la Reforma,HGSSA004583
4799,San Salvador,HGSSA004595
4801,Tasquillo,HGSSA004600
4806,Tezontepec de Aldama,HGSSA004612
4812,Tezontepec de Aldama,HGSSA004624
4818,Tezontepec de Aldama,HGSSA004636
4819,Tezontepec de Aldama,HGSSA004641
4823,Tula de Allende,HGSSA004653
4825,Tula de Allende,HGSSA004665
4840,Tula de Allende,HGSSA004670
4844,Tula de Allende,HGSSA004682
4847,Tulancingo de Bravo,HGSSA004694
4854,Zapotlán de Juárez,HGSSA004706
4862,Ajacuba,HGSSA004711
4866,El Arenal,HGSSA004723
4868,Ixmiquilpan,HGSSA004735
4872,Tezontepec de Aldama,HGSSA004752
4877,Tula de Allende,HGSSA004781
4884,Mineral de la Reforma,HGSSA004810
4888,Tlahuelilpan,HGSSA004822
4890,Tezontepec de Aldama,HGSSA004834
4894,Ixmiquilpan,HGSSA004846
4895,Ixmiquilpan,HGSSA004851
4901,Mixquiahuala de Juárez,HGSSA004880
4918,Molango de Escamilla,HGSSA004904
4922,Zacualtipán de Ángeles,HGSSA004933
4932,Tianguistengo,HGSSA004945
4936,Tlahuiltepa,HGSSA004950
4942,Huejutla de Reyes,HGSSA004962
4980,Epazoyucan,HGSSA005061
5012,Atotonilco el Grande,HGSSA005073
5015,Tolcayuca,HGSSA005090
5028,San Salvador,HGSSA005102
5035,Ajacuba,HGSSA005114
5042,Epazoyucan,HGSSA005126
5072,Zempoala,HGSSA005143
5110,Huejutla de Reyes,HGSSA007593
5115,Huejutla de Reyes,HGSSA007602
5122,Huejutla de Reyes,HGSSA007611
5130,Huejutla de Reyes,HGSSA007620
5137,Huejutla de Reyes,HGSSA007635
5143,San Bartolo Tutotepec,HGSSA007644
5155,Tecozautla,HGSSA007653
5156,La Misión,HGSSA007671
5167,Pachuca de Soto,HGSSA007680
5184,Xochiatipan,HGSSA007695
5189,Atitalaquia,HGSSA007824
5198,Atitalaquia,HGSSA007833
5208,Ajacuba,HGSSA007842
5224,Atlapexco,HGSSA007851
5225,Huejutla de Reyes,HGSSA007860
5238,Huazalingo,HGSSA007902
5243,San Bartolo Tutotepec,HGSSA007911
5260,Tepeapulco,HGSSA007920
5326,Apan,HGSSA007935
5399,Atotonilco el Grande,HGSSA007944
5424,Pachuca de Soto,HGSSA007953
